Intents,Questions,Responses
businesstrip_invbooker,Where to invite a travel booker for my business travel?,"Confirm your company has enrolled in Airbnb for Work
Add your work email address to your profile 
Change your booking permissions to allow others to book trips for you
Go to Booking permissions
Under Booking permissions, choose Manage
Enter the email address of the person you’d like to invite, then click Send Request
The person will receive an email invitation. When they accept your request, you’ll receive an email confirmation."
businesstrip_invbooker,Invite travel booker for business travel,"Confirm your company has enrolled in Airbnb for Work
Add your work email address to your profile 
Change your booking permissions to allow others to book trips for you
Go to Booking permissions
Under Booking permissions, choose Manage
Enter the email address of the person you’d like to invite, then click Send Request
The person will receive an email invitation. When they accept your request, you’ll receive an email confirmation."
businesstrip_invbooker,Steps to invite travel booker for business travel?,"Confirm your company has enrolled in Airbnb for Work
Add your work email address to your profile 
Change your booking permissions to allow others to book trips for you
Go to Booking permissions
Under Booking permissions, choose Manage
Enter the email address of the person you’d like to invite, then click Send Request
The person will receive an email invitation. When they accept your request, you’ll receive an email confirmation."
businesstrip_experience,How to book an Experience for your team?,"From the Airbnb home page, click Experiences
Enter Location and select date
Click Guests and enter the number of participants
You can filter the results or browse until you find the perfect match. You can also message the Host directly to ask if they can host your group privately, or customize the Experience for your team.

Ready to finalize your reservation? You’ll be prompted to enter the names of participants and their email addresses. Including email addresses is optional, but will ensure your team gets useful info along the way."
businesstrip_experience,Where to book an Experience for your team?,"From the Airbnb home page, click Experiences
Enter Location and select date
Click Guests and enter the number of participants
You can filter the results or browse until you find the perfect match. You can also message the Host directly to ask if they can host your group privately, or customize the Experience for your team.

Ready to finalize your reservation? You’ll be prompted to enter the names of participants and their email addresses. Including email addresses is optional, but will ensure your team gets useful info along the way."
businesstrip_experience,I want to book an Experience for my team?,"From the Airbnb home page, click Experiences
Enter Location and select date
Click Guests and enter the number of participants
You can filter the results or browse until you find the perfect match. You can also message the Host directly to ask if they can host your group privately, or customize the Experience for your team.

Ready to finalize your reservation? You’ll be prompted to enter the names of participants and their email addresses. Including email addresses is optional, but will ensure your team gets useful info along the way."
businesstrip_experience,Can an Experience be booked by me for my team?,"From the Airbnb home page, click Experiences
Enter Location and select date
Click Guests and enter the number of participants
You can filter the results or browse until you find the perfect match. You can also message the Host directly to ask if they can host your group privately, or customize the Experience for your team.

Ready to finalize your reservation? You’ll be prompted to enter the names of participants and their email addresses. Including email addresses is optional, but will ensure your team gets useful info along the way."
businesstrip_experience,Book experience for team,"From the Airbnb home page, click Experiences
Enter Location and select date
Click Guests and enter the number of participants
You can filter the results or browse until you find the perfect match. You can also message the Host directly to ask if they can host your group privately, or customize the Experience for your team.

Ready to finalize your reservation? You’ll be prompted to enter the names of participants and their email addresses. Including email addresses is optional, but will ensure your team gets useful info along the way."
businesstrip_experience,Steps to book an experience for a team?,"From the Airbnb home page, click Experiences
Enter Location and select date
Click Guests and enter the number of participants
You can filter the results or browse until you find the perfect match. You can also message the Host directly to ask if they can host your group privately, or customize the Experience for your team.

Ready to finalize your reservation? You’ll be prompted to enter the names of participants and their email addresses. Including email addresses is optional, but will ensure your team gets useful info along the way."
emergencybook_eligible,Who is eligible for emergency stays through Airbnb.org?,"People affected by disaster and relief workers responding in an official capacity. To be eligible, guests need to provide proof of a permanent or local travel address in the impacted area.
Refugees and asylum seekers. To be eligible, guests must be recognized refugees and/or are in the process of seeking asylum, a Special Immigrant Visa (SIV), or other immigration status designations with a similar humanitarian purpose.
Airbnb.org often works with nonprofit organizations and resettlement agencies specializing in crisis response and refugee resettlement to facilitate on-the-ground support, including assessing the needs and eligibility of potential guests.

Airbnb.org guests booking temporary accommodations on their own are required to set up an Airbnb account, which may include identity verification checks.

A guest’s eligibility may be reviewed by Airbnb.org, its nonprofit partners, referral organizations, or its service providers before they can utilize stays."
emergencybook_eligible,What are the eligibility for emergency stays through Airbnb.org?,"People affected by disaster and relief workers responding in an official capacity. To be eligible, guests need to provide proof of a permanent or local travel address in the impacted area.
Refugees and asylum seekers. To be eligible, guests must be recognized refugees and/or are in the process of seeking asylum, a Special Immigrant Visa (SIV), or other immigration status designations with a similar humanitarian purpose.
Airbnb.org often works with nonprofit organizations and resettlement agencies specializing in crisis response and refugee resettlement to facilitate on-the-ground support, including assessing the needs and eligibility of potential guests.

Airbnb.org guests booking temporary accommodations on their own are required to set up an Airbnb account, which may include identity verification checks.

A guest’s eligibility may be reviewed by Airbnb.org, its nonprofit partners, referral organizations, or its service providers before they can utilize stays."
emergencybook_eligible,How to know if I am eligible for emergency stays through Airbnb.org?,"People affected by disaster and relief workers responding in an official capacity. To be eligible, guests need to provide proof of a permanent or local travel address in the impacted area.
Refugees and asylum seekers. To be eligible, guests must be recognized refugees and/or are in the process of seeking asylum, a Special Immigrant Visa (SIV), or other immigration status designations with a similar humanitarian purpose.
Airbnb.org often works with nonprofit organizations and resettlement agencies specializing in crisis response and refugee resettlement to facilitate on-the-ground support, including assessing the needs and eligibility of potential guests.

Airbnb.org guests booking temporary accommodations on their own are required to set up an Airbnb account, which may include identity verification checks.

A guest’s eligibility may be reviewed by Airbnb.org, its nonprofit partners, referral organizations, or its service providers before they can utilize stays."
emergencybook_eligible,I want to know more about the eligibility for emergency stays through Airbnb.org,"People affected by disaster and relief workers responding in an official capacity. To be eligible, guests need to provide proof of a permanent or local travel address in the impacted area.
Refugees and asylum seekers. To be eligible, guests must be recognized refugees and/or are in the process of seeking asylum, a Special Immigrant Visa (SIV), or other immigration status designations with a similar humanitarian purpose.
Airbnb.org often works with nonprofit organizations and resettlement agencies specializing in crisis response and refugee resettlement to facilitate on-the-ground support, including assessing the needs and eligibility of potential guests.

Airbnb.org guests booking temporary accommodations on their own are required to set up an Airbnb account, which may include identity verification checks.

A guest’s eligibility may be reviewed by Airbnb.org, its nonprofit partners, referral organizations, or its service providers before they can utilize stays."
emergencybook_eligible,What is the eligibility for emergency stays?,"People affected by disaster and relief workers responding in an official capacity. To be eligible, guests need to provide proof of a permanent or local travel address in the impacted area.
Refugees and asylum seekers. To be eligible, guests must be recognized refugees and/or are in the process of seeking asylum, a Special Immigrant Visa (SIV), or other immigration status designations with a similar humanitarian purpose.
Airbnb.org often works with nonprofit organizations and resettlement agencies specializing in crisis response and refugee resettlement to facilitate on-the-ground support, including assessing the needs and eligibility of potential guests.

Airbnb.org guests booking temporary accommodations on their own are required to set up an Airbnb account, which may include identity verification checks.

A guest’s eligibility may be reviewed by Airbnb.org, its nonprofit partners, referral organizations, or its service providers before they can utilize stays."
emergencybook_eligible,What conditions must be met for emergency stays?,"People affected by disaster and relief workers responding in an official capacity. To be eligible, guests need to provide proof of a permanent or local travel address in the impacted area.
Refugees and asylum seekers. To be eligible, guests must be recognized refugees and/or are in the process of seeking asylum, a Special Immigrant Visa (SIV), or other immigration status designations with a similar humanitarian purpose.
Airbnb.org often works with nonprofit organizations and resettlement agencies specializing in crisis response and refugee resettlement to facilitate on-the-ground support, including assessing the needs and eligibility of potential guests.

Airbnb.org guests booking temporary accommodations on their own are required to set up an Airbnb account, which may include identity verification checks.

A guest’s eligibility may be reviewed by Airbnb.org, its nonprofit partners, referral organizations, or its service providers before they can utilize stays."
emergencybook_frontline,How do I book a Frontline stay as a COVID-19 responder?,"It isn't possible to apply for a Frontline stay as an individual at this time. To be approved for a Frontline stay, you must be referred by a partner organization.


If you’re approved, a booker from your organization might book on your behalf, or might send you an email invitation to book. Here are a few tips to keep in mind:

Read all of the information in the email invitation. It will tell you more about what kind of stay you can book.
Make sure to book a listing that’s labeled as a “Frontline stay.”
Don’t make a reservation until you receive an invitation to book to ensure discounts are properly applied and you're booking a place for COVID-19 responders. We're unable to waive fees on stays booked outside of the Frontline stays program."
emergencybook_frontline,"I am a COVID-19 responder, how can I book a Frontline stay?","It isn't possible to apply for a Frontline stay as an individual at this time. To be approved for a Frontline stay, you must be referred by a partner organization.


If you’re approved, a booker from your organization might book on your behalf, or might send you an email invitation to book. Here are a few tips to keep in mind:

Read all of the information in the email invitation. It will tell you more about what kind of stay you can book.
Make sure to book a listing that’s labeled as a “Frontline stay.”
Don’t make a reservation until you receive an invitation to book to ensure discounts are properly applied and you're booking a place for COVID-19 responders. We're unable to waive fees on stays booked outside of the Frontline stays program."
emergencybook_frontline,I want to book a Frontline stay as a COVID-19 responder,"It isn't possible to apply for a Frontline stay as an individual at this time. To be approved for a Frontline stay, you must be referred by a partner organization.


If you’re approved, a booker from your organization might book on your behalf, or might send you an email invitation to book. Here are a few tips to keep in mind:

Read all of the information in the email invitation. It will tell you more about what kind of stay you can book.
Make sure to book a listing that’s labeled as a “Frontline stay.”
Don’t make a reservation until you receive an invitation to book to ensure discounts are properly applied and you're booking a place for COVID-19 responders. We're unable to waive fees on stays booked outside of the Frontline stays program."
emergencybook_frontline,How can a COVID-19 responder book for a Frontline stay?,"It isn't possible to apply for a Frontline stay as an individual at this time. To be approved for a Frontline stay, you must be referred by a partner organization.


If you’re approved, a booker from your organization might book on your behalf, or might send you an email invitation to book. Here are a few tips to keep in mind:

Read all of the information in the email invitation. It will tell you more about what kind of stay you can book.
Make sure to book a listing that’s labeled as a “Frontline stay.”
Don’t make a reservation until you receive an invitation to book to ensure discounts are properly applied and you're booking a place for COVID-19 responders. We're unable to waive fees on stays booked outside of the Frontline stays program."
emergencybook_frontline,Book frontline stay,"It isn't possible to apply for a Frontline stay as an individual at this time. To be approved for a Frontline stay, you must be referred by a partner organization.


If you’re approved, a booker from your organization might book on your behalf, or might send you an email invitation to book. Here are a few tips to keep in mind:

Read all of the information in the email invitation. It will tell you more about what kind of stay you can book.
Make sure to book a listing that’s labeled as a “Frontline stay.”
Don’t make a reservation until you receive an invitation to book to ensure discounts are properly applied and you're booking a place for COVID-19 responders. We're unable to waive fees on stays booked outside of the Frontline stays program."
emergencybook_frontline,Is there any requirements to book a frontline stay?,"It isn't possible to apply for a Frontline stay as an individual at this time. To be approved for a Frontline stay, you must be referred by a partner organization.


If you’re approved, a booker from your organization might book on your behalf, or might send you an email invitation to book. Here are a few tips to keep in mind:

Read all of the information in the email invitation. It will tell you more about what kind of stay you can book.
Make sure to book a listing that’s labeled as a “Frontline stay.”
Don’t make a reservation until you receive an invitation to book to ensure discounts are properly applied and you're booking a place for COVID-19 responders. We're unable to waive fees on stays booked outside of the Frontline stays program."
emergencybook_frontlineterms,Who is eligible to book a frontline stay?,"To be eligible for a Frontline stay on Airbnb, you should be actively doing COVID-19 support work in the following fields:

First responder (ex: paramedic, police, firefighter)
Medical professional (ex: doctor, physician, nurse, emergency medical technician/EMT, nurse’s aide, respiratory therapist, pharmacist, radiologist, x-ray technician)
Civil protection (ex: social worker)
Community health worker (ex: counselors, non-credentialed community health workers)
You should also be working in one of the following facility types while actively responding to COVID-19:

Hospitals
Temporary hospitals and COVID-19 testing centers
Clinics and urgent care centers
Skilled nursing facilities and nursing homes
Your Frontline stay also needs to be for one of the following reasons:

You prefer to self-isolate (concerns about transmission to family or roommates)
You commute to work and are working extended hours and need to be closer to an approved facility
You’re an out-of-region worker on a temporary assignment
The following reasons are not supported for Frontline stays:

You’re symptomatic and need to self-isolate
You need to quarantine for 14+ days
You need a respite/vacation stay 
You want to permanently relocate"
emergencybook_frontlineterms,"I am a first responder, what are the terms to book a frontline stay?","To be eligible for a Frontline stay on Airbnb, you should be actively doing COVID-19 support work in the following fields:

First responder (ex: paramedic, police, firefighter)
Medical professional (ex: doctor, physician, nurse, emergency medical technician/EMT, nurse’s aide, respiratory therapist, pharmacist, radiologist, x-ray technician)
Civil protection (ex: social worker)
Community health worker (ex: counselors, non-credentialed community health workers)
You should also be working in one of the following facility types while actively responding to COVID-19:

Hospitals
Temporary hospitals and COVID-19 testing centers
Clinics and urgent care centers
Skilled nursing facilities and nursing homes
Your Frontline stay also needs to be for one of the following reasons:

You prefer to self-isolate (concerns about transmission to family or roommates)
You commute to work and are working extended hours and need to be closer to an approved facility
You’re an out-of-region worker on a temporary assignment
The following reasons are not supported for Frontline stays:

You’re symptomatic and need to self-isolate
You need to quarantine for 14+ days
You need a respite/vacation stay 
You want to permanently relocate"
emergencybook_frontlineterms,I want to know more about who is eligible to book a frontline stay,"To be eligible for a Frontline stay on Airbnb, you should be actively doing COVID-19 support work in the following fields:

First responder (ex: paramedic, police, firefighter)
Medical professional (ex: doctor, physician, nurse, emergency medical technician/EMT, nurse’s aide, respiratory therapist, pharmacist, radiologist, x-ray technician)
Civil protection (ex: social worker)
Community health worker (ex: counselors, non-credentialed community health workers)
You should also be working in one of the following facility types while actively responding to COVID-19:

Hospitals
Temporary hospitals and COVID-19 testing centers
Clinics and urgent care centers
Skilled nursing facilities and nursing homes
Your Frontline stay also needs to be for one of the following reasons:

You prefer to self-isolate (concerns about transmission to family or roommates)
You commute to work and are working extended hours and need to be closer to an approved facility
You’re an out-of-region worker on a temporary assignment
The following reasons are not supported for Frontline stays:

You’re symptomatic and need to self-isolate
You need to quarantine for 14+ days
You need a respite/vacation stay 
You want to permanently relocate"
emergencybook_frontlineterms,"If I am a first responder, are there any terms to book a frontline stay?","To be eligible for a Frontline stay on Airbnb, you should be actively doing COVID-19 support work in the following fields:

First responder (ex: paramedic, police, firefighter)
Medical professional (ex: doctor, physician, nurse, emergency medical technician/EMT, nurse’s aide, respiratory therapist, pharmacist, radiologist, x-ray technician)
Civil protection (ex: social worker)
Community health worker (ex: counselors, non-credentialed community health workers)
You should also be working in one of the following facility types while actively responding to COVID-19:

Hospitals
Temporary hospitals and COVID-19 testing centers
Clinics and urgent care centers
Skilled nursing facilities and nursing homes
Your Frontline stay also needs to be for one of the following reasons:

You prefer to self-isolate (concerns about transmission to family or roommates)
You commute to work and are working extended hours and need to be closer to an approved facility
You’re an out-of-region worker on a temporary assignment
The following reasons are not supported for Frontline stays:

You’re symptomatic and need to self-isolate
You need to quarantine for 14+ days
You need a respite/vacation stay 
You want to permanently relocate"
emergencybook_frontlineterms,Terms of frontline stay,"To be eligible for a Frontline stay on Airbnb, you should be actively doing COVID-19 support work in the following fields:

First responder (ex: paramedic, police, firefighter)
Medical professional (ex: doctor, physician, nurse, emergency medical technician/EMT, nurse’s aide, respiratory therapist, pharmacist, radiologist, x-ray technician)
Civil protection (ex: social worker)
Community health worker (ex: counselors, non-credentialed community health workers)
You should also be working in one of the following facility types while actively responding to COVID-19:

Hospitals
Temporary hospitals and COVID-19 testing centers
Clinics and urgent care centers
Skilled nursing facilities and nursing homes
Your Frontline stay also needs to be for one of the following reasons:

You prefer to self-isolate (concerns about transmission to family or roommates)
You commute to work and are working extended hours and need to be closer to an approved facility
You’re an out-of-region worker on a temporary assignment
The following reasons are not supported for Frontline stays:

You’re symptomatic and need to self-isolate
You need to quarantine for 14+ days
You need a respite/vacation stay 
You want to permanently relocate"
emergencybook_frontlineterms,What are the terms to book frontline stay?,"To be eligible for a Frontline stay on Airbnb, you should be actively doing COVID-19 support work in the following fields:

First responder (ex: paramedic, police, firefighter)
Medical professional (ex: doctor, physician, nurse, emergency medical technician/EMT, nurse’s aide, respiratory therapist, pharmacist, radiologist, x-ray technician)
Civil protection (ex: social worker)
Community health worker (ex: counselors, non-credentialed community health workers)
You should also be working in one of the following facility types while actively responding to COVID-19:

Hospitals
Temporary hospitals and COVID-19 testing centers
Clinics and urgent care centers
Skilled nursing facilities and nursing homes
Your Frontline stay also needs to be for one of the following reasons:

You prefer to self-isolate (concerns about transmission to family or roommates)
You commute to work and are working extended hours and need to be closer to an approved facility
You’re an out-of-region worker on a temporary assignment
The following reasons are not supported for Frontline stays:

You’re symptomatic and need to self-isolate
You need to quarantine for 14+ days
You need a respite/vacation stay 
You want to permanently relocate"
emergencybook_frontlineextra,"If I’m a COVID-19 responder and want to book a frontline stay, can someone else stay with me?","For the most part, frontline stays are for people actively involved in COVID-19 support work and who need to isolate themselves. There are, however, a few exceptions. Other people can stay with you if they are:

Fellow first responders who want to share a place to stay
Family members who had been living with you but no longer have housing because of your work as a first responder"
emergencybook_frontlineextra,Can someone else stay with me if I book a frontline stay?,"For the most part, frontline stays are for people actively involved in COVID-19 support work and who need to isolate themselves. There are, however, a few exceptions. Other people can stay with you if they are:

Fellow first responders who want to share a place to stay
Family members who had been living with you but no longer have housing because of your work as a first responder"
emergencybook_frontlineextra,"I am a COVID-19 responder and I want to book a frontline stay, can someone follow to stay with me?","For the most part, frontline stays are for people actively involved in COVID-19 support work and who need to isolate themselves. There are, however, a few exceptions. Other people can stay with you if they are:

Fellow first responders who want to share a place to stay
Family members who had been living with you but no longer have housing because of your work as a first responder"
emergencybook_frontlineextra,I want to bring someone else along to stay with me for a frontline stay,"For the most part, frontline stays are for people actively involved in COVID-19 support work and who need to isolate themselves. There are, however, a few exceptions. Other people can stay with you if they are:

Fellow first responders who want to share a place to stay
Family members who had been living with you but no longer have housing because of your work as a first responder"
emergencybook_frontlineextra,Bring guest to frontline stay,"For the most part, frontline stays are for people actively involved in COVID-19 support work and who need to isolate themselves. There are, however, a few exceptions. Other people can stay with you if they are:

Fellow first responders who want to share a place to stay
Family members who had been living with you but no longer have housing because of your work as a first responder"
emergencybook_frontlineextra,Terms to bring guest to frontline stay,"For the most part, frontline stays are for people actively involved in COVID-19 support work and who need to isolate themselves. There are, however, a few exceptions. Other people can stay with you if they are:

Fellow first responders who want to share a place to stay
Family members who had been living with you but no longer have housing because of your work as a first responder"
message_how,How to read and send messages?,"It all starts with a message, whether you have a question about a listing or want to book a stay right away. Getting in touch with a Host starts a message thread you can always go back to, and once you’ve taken that first step, your inbox helps you keep all your communication organized for all your trips. Just go to your Inbox and click on a message thread to read an existing message or send a new one. 

The fine print: You do have to be logged in to your Airbnb account to read or send messages, and you can only send 25 messages within any 24-hour period (we don’t think you’ll need to send any more than that)."
message_how,How to read messages?,"It all starts with a message, whether you have a question about a listing or want to book a stay right away. Getting in touch with a Host starts a message thread you can always go back to, and once you’ve taken that first step, your inbox helps you keep all your communication organized for all your trips. Just go to your Inbox and click on a message thread to read an existing message or send a new one. 

The fine print: You do have to be logged in to your Airbnb account to read or send messages, and you can only send 25 messages within any 24-hour period (we don’t think you’ll need to send any more than that)."
message_how,How to send messages?,"It all starts with a message, whether you have a question about a listing or want to book a stay right away. Getting in touch with a Host starts a message thread you can always go back to, and once you’ve taken that first step, your inbox helps you keep all your communication organized for all your trips. Just go to your Inbox and click on a message thread to read an existing message or send a new one. 

The fine print: You do have to be logged in to your Airbnb account to read or send messages, and you can only send 25 messages within any 24-hour period (we don’t think you’ll need to send any more than that)."
message_how,Where to read or send messages?,"It all starts with a message, whether you have a question about a listing or want to book a stay right away. Getting in touch with a Host starts a message thread you can always go back to, and once you’ve taken that first step, your inbox helps you keep all your communication organized for all your trips. Just go to your Inbox and click on a message thread to read an existing message or send a new one. 

The fine print: You do have to be logged in to your Airbnb account to read or send messages, and you can only send 25 messages within any 24-hour period (we don’t think you’ll need to send any more than that)."
message_how,Where to read messages?,"It all starts with a message, whether you have a question about a listing or want to book a stay right away. Getting in touch with a Host starts a message thread you can always go back to, and once you’ve taken that first step, your inbox helps you keep all your communication organized for all your trips. Just go to your Inbox and click on a message thread to read an existing message or send a new one. 

The fine print: You do have to be logged in to your Airbnb account to read or send messages, and you can only send 25 messages within any 24-hour period (we don’t think you’ll need to send any more than that)."
message_how,Where to send messages?,"It all starts with a message, whether you have a question about a listing or want to book a stay right away. Getting in touch with a Host starts a message thread you can always go back to, and once you’ve taken that first step, your inbox helps you keep all your communication organized for all your trips. Just go to your Inbox and click on a message thread to read an existing message or send a new one. 

The fine print: You do have to be logged in to your Airbnb account to read or send messages, and you can only send 25 messages within any 24-hour period (we don’t think you’ll need to send any more than that)."
message_archive,Can I archive messages?,"Go to your Inbox and select the message thread you want to archive
Click the Archive icon
To read archived messages, choose Archived conversations from the dropdown menu"
message_archive,How to archive messages?,"Go to your Inbox and select the message thread you want to archive
Click the Archive icon
To read archived messages, choose Archived conversations from the dropdown menu"
message_archive,Can messages be archived by me?,"Go to your Inbox and select the message thread you want to archive
Click the Archive icon
To read archived messages, choose Archived conversations from the dropdown menu"
message_archive,I want to archive some messages,"Go to your Inbox and select the message thread you want to archive
Click the Archive icon
To read archived messages, choose Archived conversations from the dropdown menu"
message_archive,Where to archive message?,"Go to your Inbox and select the message thread you want to archive
Click the Archive icon
To read archived messages, choose Archived conversations from the dropdown menu"
message_archive,Archive message,"Go to your Inbox and select the message thread you want to archive
Click the Archive icon
To read archived messages, choose Archived conversations from the dropdown menu"
message_card,How can I send a card or contribution to a prior host?,"If you’re eligible, you’ll receive an email inviting you to send a card:

Click or tap Send a kindness card in the email.
You’ll be taken to a page where you can choose a host. You’ll only be shown hosts from experiences or stays you’ve given four or five-star ratings. Hosts who are no longer hosting on Airbnb will not be shown.
Next, select a card design. To change the language of the card that your host will receive, tap or click the language selector. A check is shown next to the language in which the host will receive the card. The host's preferred language will also be indicated. Note that some card designs are only available in certain languages.
Then add a note to the host, if you like. To get ideas for what to say in your note, select ""Show some examples"" in the message box. Then, write your own note or edit one of the examples.
Finally, you'll have the option to include a financial contribution where 100% of your payment goes directly to the host.
You’ll be able to preview your card before sending it. Please note that your card and the message inside may be visible to others
After you send your card, you’ll receive a confirmation email including a copy of the card. If your payment method fails, you'll also receive an email letting you know you'll need to update your payment information in order for your contribution to be completed. Once you send a card to a host, you won't be able to send them an additional card.

You may not have the option to add a financial contribution to every card. Some hosts may not be able to accept financial contributions for various reasons, including living in locations where local regulations prevent them from accepting contributions. Also for group stays or experiences, only the guest who paid through Airbnb will be able to make a contribution to that host.

It’s your responsibility to determine whether your contribution is eligible for a tax deduction or credit."
message_card,How can I send a card to a prior host?,"If you’re eligible, you’ll receive an email inviting you to send a card:

Click or tap Send a kindness card in the email.
You’ll be taken to a page where you can choose a host. You’ll only be shown hosts from experiences or stays you’ve given four or five-star ratings. Hosts who are no longer hosting on Airbnb will not be shown.
Next, select a card design. To change the language of the card that your host will receive, tap or click the language selector. A check is shown next to the language in which the host will receive the card. The host's preferred language will also be indicated. Note that some card designs are only available in certain languages.
Then add a note to the host, if you like. To get ideas for what to say in your note, select ""Show some examples"" in the message box. Then, write your own note or edit one of the examples.
Finally, you'll have the option to include a financial contribution where 100% of your payment goes directly to the host.
You’ll be able to preview your card before sending it. Please note that your card and the message inside may be visible to others
After you send your card, you’ll receive a confirmation email including a copy of the card. If your payment method fails, you'll also receive an email letting you know you'll need to update your payment information in order for your contribution to be completed. Once you send a card to a host, you won't be able to send them an additional card.

You may not have the option to add a financial contribution to every card. Some hosts may not be able to accept financial contributions for various reasons, including living in locations where local regulations prevent them from accepting contributions. Also for group stays or experiences, only the guest who paid through Airbnb will be able to make a contribution to that host.

It’s your responsibility to determine whether your contribution is eligible for a tax deduction or credit."
message_card,How can I send a contribution to a prior host?,"If you’re eligible, you’ll receive an email inviting you to send a card:

Click or tap Send a kindness card in the email.
You’ll be taken to a page where you can choose a host. You’ll only be shown hosts from experiences or stays you’ve given four or five-star ratings. Hosts who are no longer hosting on Airbnb will not be shown.
Next, select a card design. To change the language of the card that your host will receive, tap or click the language selector. A check is shown next to the language in which the host will receive the card. The host's preferred language will also be indicated. Note that some card designs are only available in certain languages.
Then add a note to the host, if you like. To get ideas for what to say in your note, select ""Show some examples"" in the message box. Then, write your own note or edit one of the examples.
Finally, you'll have the option to include a financial contribution where 100% of your payment goes directly to the host.
You’ll be able to preview your card before sending it. Please note that your card and the message inside may be visible to others
After you send your card, you’ll receive a confirmation email including a copy of the card. If your payment method fails, you'll also receive an email letting you know you'll need to update your payment information in order for your contribution to be completed. Once you send a card to a host, you won't be able to send them an additional card.

You may not have the option to add a financial contribution to every card. Some hosts may not be able to accept financial contributions for various reasons, including living in locations where local regulations prevent them from accepting contributions. Also for group stays or experiences, only the guest who paid through Airbnb will be able to make a contribution to that host.

It’s your responsibility to determine whether your contribution is eligible for a tax deduction or credit."
message_card,Where can I send a contribution to a prior host?,"If you’re eligible, you’ll receive an email inviting you to send a card:

Click or tap Send a kindness card in the email.
You’ll be taken to a page where you can choose a host. You’ll only be shown hosts from experiences or stays you’ve given four or five-star ratings. Hosts who are no longer hosting on Airbnb will not be shown.
Next, select a card design. To change the language of the card that your host will receive, tap or click the language selector. A check is shown next to the language in which the host will receive the card. The host's preferred language will also be indicated. Note that some card designs are only available in certain languages.
Then add a note to the host, if you like. To get ideas for what to say in your note, select ""Show some examples"" in the message box. Then, write your own note or edit one of the examples.
Finally, you'll have the option to include a financial contribution where 100% of your payment goes directly to the host.
You’ll be able to preview your card before sending it. Please note that your card and the message inside may be visible to others
After you send your card, you’ll receive a confirmation email including a copy of the card. If your payment method fails, you'll also receive an email letting you know you'll need to update your payment information in order for your contribution to be completed. Once you send a card to a host, you won't be able to send them an additional card.

You may not have the option to add a financial contribution to every card. Some hosts may not be able to accept financial contributions for various reasons, including living in locations where local regulations prevent them from accepting contributions. Also for group stays or experiences, only the guest who paid through Airbnb will be able to make a contribution to that host.

It’s your responsibility to determine whether your contribution is eligible for a tax deduction or credit."
message_card,Send contribution to host,"If you’re eligible, you’ll receive an email inviting you to send a card:

Click or tap Send a kindness card in the email.
You’ll be taken to a page where you can choose a host. You’ll only be shown hosts from experiences or stays you’ve given four or five-star ratings. Hosts who are no longer hosting on Airbnb will not be shown.
Next, select a card design. To change the language of the card that your host will receive, tap or click the language selector. A check is shown next to the language in which the host will receive the card. The host's preferred language will also be indicated. Note that some card designs are only available in certain languages.
Then add a note to the host, if you like. To get ideas for what to say in your note, select ""Show some examples"" in the message box. Then, write your own note or edit one of the examples.
Finally, you'll have the option to include a financial contribution where 100% of your payment goes directly to the host.
You’ll be able to preview your card before sending it. Please note that your card and the message inside may be visible to others
After you send your card, you’ll receive a confirmation email including a copy of the card. If your payment method fails, you'll also receive an email letting you know you'll need to update your payment information in order for your contribution to be completed. Once you send a card to a host, you won't be able to send them an additional card.

You may not have the option to add a financial contribution to every card. Some hosts may not be able to accept financial contributions for various reasons, including living in locations where local regulations prevent them from accepting contributions. Also for group stays or experiences, only the guest who paid through Airbnb will be able to make a contribution to that host.

It’s your responsibility to determine whether your contribution is eligible for a tax deduction or credit."
message_card,I want to send a contribution to host,"If you’re eligible, you’ll receive an email inviting you to send a card:

Click or tap Send a kindness card in the email.
You’ll be taken to a page where you can choose a host. You’ll only be shown hosts from experiences or stays you’ve given four or five-star ratings. Hosts who are no longer hosting on Airbnb will not be shown.
Next, select a card design. To change the language of the card that your host will receive, tap or click the language selector. A check is shown next to the language in which the host will receive the card. The host's preferred language will also be indicated. Note that some card designs are only available in certain languages.
Then add a note to the host, if you like. To get ideas for what to say in your note, select ""Show some examples"" in the message box. Then, write your own note or edit one of the examples.
Finally, you'll have the option to include a financial contribution where 100% of your payment goes directly to the host.
You’ll be able to preview your card before sending it. Please note that your card and the message inside may be visible to others
After you send your card, you’ll receive a confirmation email including a copy of the card. If your payment method fails, you'll also receive an email letting you know you'll need to update your payment information in order for your contribution to be completed. Once you send a card to a host, you won't be able to send them an additional card.

You may not have the option to add a financial contribution to every card. Some hosts may not be able to accept financial contributions for various reasons, including living in locations where local regulations prevent them from accepting contributions. Also for group stays or experiences, only the guest who paid through Airbnb will be able to make a contribution to that host.

It’s your responsibility to determine whether your contribution is eligible for a tax deduction or credit."
message_suspend,How would I know if an account has been suspended or deactivated?,"Airbnb may limit, suspend, or deactivate an account, as outlined in our Terms of Service. 

When this happens, the suspended person’s messages in your inbox will be replaced with text indicating that their account no longer has access to Airbnb.

Depending on the nature of the situation, the suspended user and their messages may be restored."
