niat,Jawapan
tempah_pengalaman_bubayaranbalik,"Anda boleh membatalkan sehingga 7 hari sebelum masa mula atau dalam masa 24 jam selepas tempahan. Dan anda boleh menukar tempahan sehingga 72 jam sebelum Pengalaman bermula. Pembatalan dan perubahan mempunyai dasar yang sama untuk Pengalaman Airbnb dalam talian dan bersemuka.

Anda layak mendapat bayaran balik penuh jika terdapat sebarang masalah teknikal, seperti isu audio atau video, pada peranti anda sendiri atau peranti Hos semasa Pengalaman dalam talian. Bayaran balik, perubahan dan pembatalan boleh dibuat dengan mengisi borang yang terpapar di sudut bawah skrin."
tempah_pengalaman_hadiri,"Anda akan mempelajari semua yang anda perlu ketahui dalam e-mel pengesahan anda, tetapi anda juga boleh menyemak bahagian Cara untuk mengambil bahagian dan keperluan Tetamu pada halaman Pengalaman. Untuk mencari pautan Zum untuk Pengalaman dalam talian anda, pergi ke: E-mel pengesahan anda E-mel peringatan anda Perjalanan, disertakan dalam maklumat tempahan anda"
laporan,"Jika anda menemui sebarang kandungan yang tidak sesuai, hubungi sokongan komuniti Airbnb dan laporkannya. Berikan maklumat sebanyak mungkin dan kami akan menyiasat isu tersebut."
pengalaman_termasuk,"Setiap pengalaman adalah berbeza, jadi adalah idea yang baik untuk menyemak dengan teliti perkara yang disertakan dan tidak disertakan sebelum anda menempah. Sebagai contoh, anda perlu mengetahui sama ada minuman disertakan dalam pengalaman merasai anda, atau jika anda perlu membayar untuk pameran istimewa itu semasa lawatan muzium. Hos menambahkan maklumat ini pada halaman pengalaman. Semak bahagian Apa yang disertakan atau Perkara yang akan saya sediakan untuk mengetahui perkara yang diharapkan. Penginapan biasanya tidak disertakan dengan pengalaman sehari. Pengembaraan pelbagai hari termasuk penginapan, makanan dan aktiviti."
kumpulan_pengalaman,"Apabila anda menemui Pengalaman yang ingin anda tempah, semak sama ada pilihan Tempah untuk kumpulan peribadi tersedia. Anda juga boleh menghubungi Hos untuk mengetahui sama ada mereka boleh mengehoskan kumpulan anda secara peribadi atau menyesuaikan Pengalaman untuk kumpulan anda. Harap maklum bahawa sama ada Hos menawarkan kumpulan peribadi adalah mengikut budi bicara Hos Jika kumpulan anda membuat tempahan dan jumlah amaun yang anda akan bayar untuk tempahan itu melebihi harga minimum Hos, maka kumpulan anda akan membayar jumlah yang lebih tinggi."
pengalaman_jemput,"Jika anda menempah pengalaman, anda boleh menghantar pautan jemputan kepada semua tetamu tambahan yang akan menggesa mereka mengklik atau mengetik Tuntut Tempat Duduk Anda. Sebaik sahaja mereka melakukannya, mereka akan mendapat semua faedah apabila ditambahkan pada tempahan. Satu perkara penting: Orang yang anda jemput mesti mempunyai akaun Airbnb untuk menggunakan ciri Tuntut Tempat Duduk Anda. Selepas anda melengkapkan tempahan anda: Pergi ke Perjalanan dan cari pengalaman anda di bawah tab Akan Datang Klik atau ketik Butiran lanjut Tatal ke bawah untuk Salin pautan jemputan Hantar pautan kepada orang dalam kumpulan anda Sebaik sahaja mereka mengklik atau mengetik Tuntut Tempat Duduk Anda, tetamu anda akan dapatkan: E-mel pengesahan dengan butiran tempahan mereka dan pautan Zum untuk melog masuk ke acara tersebut. (Jangan risau! E-mel tidak akan memaparkan maklumat harga, itu antara anda dan Hos). Akses kepada urutan mesej langsung dengan Hos, serta urutan mesej kumpulan dengan peserta lain (termasuk anda sebagai penempah). Pilihan untuk meninggalkan ulasan selepas pengalaman tamat. Jika anda perlu menambah saiz kumpulan (semakin banyak, lebih meriah!), anda akan sentiasa mempunyai pilihan untuk menambah lebih ramai tetamu sebelum pengalaman bermula di bawah Urus Tempahan—bergantung pada perkara yang boleh dimuatkan oleh hos pengalaman anda."
kebolehcapaian,"Masukkan destinasi anda dan tarikh yang dikehendaki Setelah hasil carian anda dipaparkan, klik Penapis Klik Pilih ciri kebolehaksesan Pilih mana-mana ciri yang anda perlukan untuk menikmati Pengalaman dan klik Simpan"
tuntutan_kedudukan,"Anda akan menerima e-mel daripada orang yang menempah pengalaman itu. E-mel itu akan menyertakan pautan jemputan dan pautan itu akan menggesa anda untuk mengklik atau mengetik Tuntut Tempat Duduk Anda. Menuntut tempat duduk anda adalah seperti RSVPing. Sebaik sahaja anda menuntut tempat duduk anda, anda akan mempunyai akses kepada maklumat penting dan ciri penting yang akan membolehkan anda menikmati pengalaman itu secara menyeluruh. Satu perkara penting: Anda perlu mempunyai akaun Airbnb untuk menggunakan ciri Tuntut Tempat Duduk Anda."
pengalaman_permintaantukar,"Pergi ke Pengalaman yang anda inginkan dan klik Hubungi Hos Klik Minta tarikh tertentu Pilih tarikh, jangka masa dan bilangan tetamu Semak permintaan anda dan kemudian klik Hantar permintaan Hos akan menyemak butiran tempahan dan memutuskan sama ada ia sesuai untuk anda ke dalam jadual mereka. Jika mereka mengesahkan, anda boleh melengkapkan tempahan melalui mesej dalam peti masuk anda Jika mereka tidak dapat menampung anda, anda boleh cuba bekerjasama untuk mencari masa yang menyeronokkan bersama"
pengalaman_keperluan,"Pensijilan khas Ingin tahu sama ada aktiviti anda memerlukan lesen khusus, seperti pensijilan skuba atau lesen memandu? Hos anda akan memberikan maklumat tersebut dalam bahagian keperluan tetamu dalam penyenaraian. Tahap kemahiran Sesetengah aktiviti memerlukan tahap kemahiran yang berbeza, seperti pendakian yang berat atau pengembaraan belayar. Maklumat ini harus disertakan dalam penyenaraian. Dan, sudah tentu, jangan ragu untuk bertanya soalan Hos anda tentang perkara yang perlu anda jangkakan semasa Pengalaman."
pengalaman_tambahorg,"Adalah ""Tidak"" yang besar untuk membawa beberapa rakan tambahan tanpa diumumkan pada hari pengalaman. Hos boleh menolak mereka jika mereka belum menempah tempat mereka melalui Airbnb. Untuk mengelakkan kekecewaan, sertakan rakan anda dalam rancangan anda lebih awal atau minta mereka menempah pengalaman itu sendiri."
pengalaman_belipihak,"Pengalaman Airbnb sangat mengagumkan apabila ia dikongsi. Anda boleh menempah dan membayar sehingga 10 tetamu, tetapi anda mesti menjadi salah seorang peserta. Untuk beberapa Pengalaman, anda mungkin dimaklumkan melalui e-mel bahawa anda dan mana-mana tetamu yang anda jemput perlu mempunyai akaun Airbnb dan memberikan ID sebelum mereka boleh hadir."
pengalaman_kanakkanak,"Hos harus mempunyai huraian pengalaman terperinci yang menyatakan sama ada pengalaman itu sesuai untuk kanak-kanak atau berapa umur kanak-kanak mesti hadir. Anda sentiasa boleh menghubungi Hos sebelum anda menempah untuk bertanya soalan tentang tahap kemahiran yang diperlukan untuk pengalaman tersebut. Dan ingat, semua kanak-kanak atau tetamu di bawah umur 18 tahun mesti ditemani oleh penjaga mereka yang sah."
pengalaman_diet,"Hos harus mempunyai huraian pengalaman terperinci yang menyatakan sama ada pengalaman itu sesuai untuk kanak-kanak atau berapa umur kanak-kanak mesti hadir. Anda sentiasa boleh menghubungi Hos sebelum anda menempah untuk bertanya soalan tentang tahap kemahiran yang diperlukan untuk pengalaman tersebut. Dan ingat, semua kanak-kanak atau tetamu di bawah umur 18 tahun mesti ditemani oleh penjaga mereka yang sah."
perjalananperniagaan_daftar,"Pergi ke Akaun dan klik Perjalanan ke tempat kerja Masukkan e-mel kerja anda Klik Tambah e-mel kerja Tiada bilangan minimum atau maksimum pekerja diperlukan untuk mendaftar untuk Airbnb untuk Kerja, jadi walaupun syarikat anda adalah sebuah organisasi, anda masih boleh mendaftar sendiri dan nikmati semua yang datang bersamanya."
perjalananperniagaan_sertai,"Anda boleh memautkan alamat e-mel kerja anda ke akaun Airbnb anda yang sedia ada. Hanya pergi ke Akaun dan klik atau ketik Perjalanan untuk kerja. Masukkan e-mel kerja anda dan klik atau ketik pilih Tambah e-mel kerja. Belum mempunyai akaun Airbnb? Anda boleh menggunakan alamat e-mel kerja anda untuk menyediakannya. Sebaik sahaja anda telah mendaftar dan bersetuju dengan terma dan syarat kami, anda sudah bersedia untuk menyertai akaun syarikat anda. Buka pautan jemputan unik anda. Jika anda telah menambahkan alamat e-mel tempat kerja anda pada akaun Airbnb anda, anda boleh mula meneroka tempat penginapan. Jika tidak, masukkan alamat e-mel kerja anda dan klik atau ketik Tambah e-mel kerja. Jika anda telah dijemput untuk menyertai pasukan tertentu di syarikat anda, anda boleh mengklik atau ketik Minta untuk menyertai pasukan dalam e-mel anda. Pentadbir syarikat anda akan dimaklumkan bahawa anda telah meminta untuk menyertai. Setelah mereka meluluskan permintaan anda, anda akan ditambahkan pada pasukan. Jika anda mendapat ralat ""Ini bukan domain e-mel yang disokong"", pastikan anda tidak menggunakan domain e-mel awam (cth: gmail.com, hotmail.com) untuk mendaftar akaun syarikat anda. Jika anda masih melihat ralat ini selepas memasukkan domain e-mel kerja yang sah, ini bermakna akaun perniagaan syarikat anda adalah jemputan sahaja. Cuba tanya sumber manusia atau pengurus perjalanan syarikat anda untuk jemputan. Jika anda sudah mempunyai akaun Airbnb peribadi, pastikan anda memasukkan alamat e-mel kerja anda (cth: name@companyname.com) pada halaman Perjalanan Perniagaan kami. Kami akan membantu anda memautkan akaun peribadi anda dan alamat e-mel kerja dari sana."
tempah_perjalananperniagaan,"Anda boleh menggunakan kami untuk perjalanan perniagaan juga. Tandai tempahan sebagai perjalanan perniagaan dengan memilih Adakah ini perjalanan kerja? semasa checkout. Dengan cara ini, anda boleh menambah nota perjalanan yang akan dihantar kepada orang yang menguruskan perjalanan syarikat anda. Anda juga akan mendapat resit yang boleh dibelanjakan daripada kami dalam peti masuk kerja anda. Jika anda telah menempah perjalanan dan tersilap menandakannya sebagai perjalanan perniagaan, atau sebaliknya, anda boleh mengemas kininya pada bila-bila masa dengan pergi ke halaman Perjalanan anda dan memilih atau menyahpilih Ini ialah perjalanan perniagaan. Anda hanya boleh melakukan ini jika anda menempah menggunakan kaedah pembayaran peribadi. Jika anda tersilap mengecaj perjalanan perniagaan ke syarikat anda, anda perlu membatalkan serta-merta untuk mengelakkan yuran pembatalan dan sebarang kebimbangan pematuhan untuk organisasi anda."
perjalananperniagaan_butiran,"Pergi ke Perjalanan, pilih Akan Datang atau Lepas, dan pilih perjalanan yang ingin anda edit Pergi ke Maklumat pembayaran Jika anda disahkan, pilih Ini adalah perjalanan perniagaan (jika tidak, langkau langkah ini) Klik Tambah butiran untuk perbelanjaan perjalanan anda Masukkan alamat pengebilan atau sebarang butiran lain yang berkaitan, kemudian klik Simpan Menambah butiran VAT pada nota anda tidak akan menjejaskan VAT yang dikenakan pada tempahan anda. Invois VAT tidak boleh ditukar."
perjalananperniagaan_penempah,"Sahkan syarikat anda telah mendaftar dalam Airbnb for Work Tambah alamat e-mel kerja anda pada profil anda Tukar kebenaran tempahan anda untuk membenarkan orang lain menempah perjalanan untuk anda Pergi ke Keizinan tempahan Di bawah kebenaran tempahan, pilih Urus Masukkan alamat e-mel orang yang anda mahu untuk menjemput, kemudian klik Hantar Permintaan Orang itu akan menerima jemputan e-mel. Apabila mereka menerima permintaan anda, anda akan menerima pengesahan e-mel."
pengalaman_perjalananperniagaan,"Dari halaman utama Airbnb, klik Pengalaman Masukkan Lokasi dan pilih tarikh Klik Tetamu dan masukkan bilangan peserta Anda boleh menapis keputusan atau menyemak imbas sehingga anda menemui padanan yang sempurna. Anda juga boleh menghantar mesej terus kepada Hos untuk bertanya sama ada mereka boleh mengehos kumpulan anda secara peribadi, atau menyesuaikan Pengalaman untuk pasukan anda. Bersedia untuk memuktamadkan tempahan anda? Anda akan digesa untuk memasukkan nama peserta dan alamat e-mel mereka. Memasukkan alamat e-mel adalah pilihan, tetapi akan memastikan pasukan anda mendapat maklumat berguna sepanjang perjalanan."
kecemasantempah_layak,"Orang yang terjejas oleh bencana dan pekerja bantuan bertindak balas dalam kapasiti rasmi. Untuk layak, tetamu perlu memberikan bukti alamat perjalanan tetap atau tempatan di kawasan yang terjejas. Pelarian dan pencari suaka. Untuk layak, tetamu mestilah pelarian yang diiktiraf dan/atau sedang dalam proses mendapatkan suaka, Visa Pendatang Khas (SIV), atau jawatan status imigresen lain dengan tujuan kemanusiaan yang serupa. Airbnb.org sering bekerjasama dengan organisasi bukan untung dan agensi penempatan semula yang pakar dalam tindak balas krisis dan penempatan semula pelarian untuk memudahkan sokongan di lapangan, termasuk menilai keperluan dan kelayakan bakal tetamu. Tetamu Airbnb.org yang menempah penginapan sementara sendiri dikehendaki menyediakan akaun Airbnb, yang mungkin termasuk semakan pengesahan identiti. Kelayakan tetamu boleh disemak oleh Airbnb.org, rakan kongsi bukan untungnya, organisasi rujukan atau penyedia perkhidmatannya sebelum mereka boleh menggunakan penginapan."
kecemasantempah_barisdepan,"Anda tidak boleh memohon penginapan Barisan Hadapan sebagai individu pada masa ini. Untuk diluluskan untuk penginapan Barisan Hadapan, anda mesti dirujuk oleh organisasi rakan kongsi. Jika anda diluluskan, penempah daripada organisasi anda mungkin menempah bagi pihak anda atau mungkin menghantar jemputan e-mel kepada anda untuk membuat tempahan. Berikut ialah beberapa petua yang perlu diingat: Baca semua maklumat dalam jemputan e-mel. Ia akan memberitahu anda lebih lanjut tentang jenis penginapan yang boleh anda tempah. Pastikan anda menempah penyenaraian yang dilabelkan sebagai ""Penginapan barisan hadapan"". Jangan buat tempahan sehingga anda menerima jemputan untuk menempah bagi memastikan diskaun digunakan dengan betul dan anda menempah tempat untuk responden COVID-19. Kami tidak dapat mengetepikan yuran untuk penginapan yang ditempah di luar program penginapan Frontline."
kecemasantempah_barisdepan_terma,"Untuk layak untuk kekal di Barisan Hadapan di Airbnb, anda harus aktif melakukan kerja sokongan COVID-19 dalam bidang berikut: Responden pertama (cth: paramedik, polis, bomba) Profesional perubatan (cth: doktor, pakar perubatan, jururawat, juruteknik perubatan kecemasan /EMT, pembantu jururawat, ahli terapi pernafasan, ahli farmasi, ahli radiologi, juruteknik x-ray) Perlindungan awam (cth: pekerja sosial) Pekerja kesihatan komuniti (cth: kaunselor, pekerja kesihatan masyarakat tidak bertauliah) Anda juga harus bekerja di salah satu jenis kemudahan berikut semasa bertindak balas secara aktif kepada COVID-19: Hospital Hospital sementara dan pusat ujian COVID-19 Klinik dan pusat penjagaan segera Kemudahan kejururawatan mahir dan rumah kejururawatan Anda juga perlu berada di barisan hadapan kerana salah satu sebab berikut: Anda lebih suka memilih sendiri. mengasingkan diri (kebimbangan tentang penularan kepada keluarga atau rakan sebilik) Anda berulang-alik ke tempat kerja dan bekerja dengan masa lanjutan dan perlu lebih dekat dengan kemudahan yang diluluskan Anda adalah pekerja luar wilayah secara sementara sebagai tandatangan Sebab berikut tidak disokong untuk penginapan di Barisan Hadapan: Anda mempunyai gejala dan perlu mengasingkan diri Anda perlu kuarantin selama 14+ hari Anda memerlukan rehat/penginapan bercuti Anda ingin berpindah secara kekal"
kecemasantempah_barisdepantambah,"Untuk sebahagian besar, penginapan barisan hadapan adalah untuk orang yang terlibat secara aktif dalam kerja sokongan COVID-19 dan yang perlu mengasingkan diri. Walau bagaimanapun, terdapat beberapa pengecualian. Orang lain boleh tinggal bersama anda jika mereka: Rakan responden pertama yang ingin berkongsi tempat tinggal Ahli keluarga yang pernah tinggal bersama anda tetapi tidak mempunyai tempat tinggal lagi kerana kerja anda sebagai responden pertama"
mesej_bagaimana,"Semuanya bermula dengan mesej, sama ada anda mempunyai soalan tentang penyenaraian atau ingin menempah penginapan dengan segera. Berhubung dengan Hos memulakan urutan mesej yang anda boleh kembali pada bila-bila masa, dan setelah anda mengambil langkah pertama itu, peti masuk anda membantu anda memastikan semua komunikasi anda teratur untuk semua perjalanan anda. Hanya pergi ke Peti Masuk anda dan klik pada urutan mesej untuk membaca mesej sedia ada atau menghantar yang baharu. Cetakan halus: Anda perlu log masuk ke akaun Airbnb anda untuk membaca atau menghantar mesej, dan anda hanya boleh menghantar 25 mesej dalam mana-mana tempoh 24 jam (kami tidak fikir anda perlu menghantar lebih daripada itu )."
arkib_mesej,"Pergi ke Peti Masuk anda dan pilih urutan mesej yang anda ingin arkibkan Klik ikon Arkib Untuk membaca mesej yang diarkibkan, pilih Perbualan yang diarkibkan daripada menu lungsur"
kad_mesej,"Jika anda layak, anda akan menerima e-mel yang menjemput anda menghantar kad: Klik atau ketik Hantar kad kebaikan dalam e-mel. Anda akan dibawa ke halaman di mana anda boleh memilih hos. Anda hanya akan ditunjukkan hos daripada pengalaman atau penginapan yang anda berikan penilaian empat atau lima bintang. Hos yang tidak lagi menjadi hos di Airbnb tidak akan ditunjukkan. Seterusnya, pilih reka bentuk kad. Untuk menukar bahasa kad yang akan diterima oleh hos anda, ketik atau klik pemilih bahasa. Cek ditunjukkan di sebelah bahasa di mana hos akan menerima kad. Bahasa pilihan hos juga akan ditunjukkan. Ambil perhatian bahawa sesetengah reka bentuk kad hanya tersedia dalam bahasa tertentu. Kemudian tambahkan nota kepada hos, jika anda suka. Untuk mendapatkan idea tentang perkara yang hendak dikatakan dalam nota anda, pilih ""Tunjukkan beberapa contoh"" dalam kotak mesej. Kemudian, tulis nota anda sendiri atau edit salah satu contoh. Akhir sekali, anda akan mempunyai pilihan untuk memasukkan sumbangan kewangan yang 100% daripada bayaran anda disalurkan terus kepada hos. Anda akan dapat melihat pratonton kad anda sebelum menghantarnya. Sila ambil perhatian bahawa kad anda dan mesej di dalamnya mungkin kelihatan kepada orang lain Selepas anda menghantar kad anda, anda akan menerima e-mel pengesahan termasuk salinan kad. Jika kaedah pembayaran anda gagal, anda juga akan menerima e-mel yang memberitahu anda bahawa anda perlu mengemas kini maklumat pembayaran anda agar sumbangan anda dapat diselesaikan. Sebaik sahaja anda menghantar kad kepada hos, anda tidak akan dapat menghantar kad tambahan kepada mereka. Anda mungkin tidak mempunyai pilihan untuk menambah sumbangan kewangan pada setiap kad. Sesetengah hos mungkin tidak dapat menerima sumbangan kewangan atas pelbagai sebab, termasuk tinggal di lokasi di mana peraturan tempatan menghalang mereka daripada menerima sumbangan. Juga untuk penginapan atau pengalaman berkumpulan, hanya tetamu yang membayar melalui Airbnb akan dapat membuat sumbangan kepada hos tersebut. Anda bertanggungjawab untuk menentukan sama ada sumbangan anda layak untuk potongan cukai atau kredit."
mesej_gantung,"Airbnb mungkin mengehadkan, menggantung atau menyahaktifkan akaun, seperti yang digariskan dalam Syarat Perkhidmatan kami. Apabila ini berlaku, mesej orang yang digantung dalam peti masuk anda akan digantikan dengan teks yang menunjukkan bahawa akaun mereka tidak lagi mempunyai akses kepada Airbnb. Bergantung pada jenis keadaan, pengguna yang digantung dan mesej mereka mungkin dipulihkan."
tempahan_tamat,"Jika permintaan tempahan anda ditolak oleh hos atau tamat tempoh (hos mempunyai 24 jam untuk menjawab), tiada caj dikenakan untuk tempahan dan anda bebas untuk menempah tempat penginapan lain. Ketahui lebih lanjut tentang menyemak status tempahan anda. Jika permintaan tempahan anda ditolak dan penyenaraian untuk penginapan menunjukkan bahawa ia masih tersedia, kalendar hos mungkin tidak dikemas kini atau mereka mungkin mahukan tempahan dengan tempoh atau masa yang berbeza."
tempahan_sementaramenunggu,"Berikut ialah beberapa sebab mengapa tempahan anda mungkin mempunyai status ""Belum selesai"": Apabila anda membuat permintaan untuk menempah dan menyelesaikan pembayaran anda, permintaan tempahan dihantar secara automatik kepada hos, yang mempunyai 24 jam untuk menerima atau menolak permintaan tersebut. Status untuk tempahan anda akan ""Belum selesai"" sehingga hos membalas. Pada masa ini, anda juga boleh menghubungi hos untuk meluluskan permintaan anda. Jika hos menolak permintaan anda atau tidak membalas dalam masa 24 jam, status tempahan akan dikemas kini sebagai ""Ditolak"" atau ""Tamat tempoh"", dan bayaran anda akan dikembalikan kepada kaedah pembayaran asal anda. Kadangkala tempahan akan ""Belum selesai"" jika anda telah menempah tempat penginapan tetapi anda belum menyelesaikan proses pengesahan identiti. Dalam kes ini, anda mempunyai 12 jam dari masa anda membuat tempahan untuk melengkapkan pengesahan identiti, jika tidak, tempahan akan dibatalkan secara automatik."
penginapan_tukar,"Anda boleh menukar tempahan yang disahkan dengan menyerahkan permintaan perubahan kepada Hos anda atau melalui borang yang telah muncul di sudut kanan bawah skrin anda.
Pergi ke Perjalanan dan kemudian klik perjalanan yang ingin anda ubah
Klik Tukar tempahan
Tukar tarikh penginapan anda atau bilangan tetamu dan klik Teruskan
Harap maklum bahawa Hos perlu menerima sebarang perubahan yang dikemukakan. Jika Hos anda tidak menerima, cuba hantar mesej kepada mereka yang mengingatkan mereka untuk menyemak permintaan pengubahan anda.
Semak perubahan anda, kemudian klik Hantar permintaan
Sebaik sahaja anda menghantar permintaan, Hos akan menerima pemberitahuan untuk meluluskan atau menolak permintaan anda
Bergantung pada polisi Hos, menukar bilangan tetamu boleh menjejaskan jumlah kos penginapan anda.

Jumlah asal dan jumlah baharu akan ditunjukkan sebelum anda menyerahkan permintaan anda untuk pindaan. Setelah Hos menerima, perubahan akan diproses.

Anda akan dicaj atau dibayar balik, jika perlu, dan ini juga akan ditunjukkan sebelum anda mengesahkan perubahan.

Jika Hos menolak permintaan anda, atau tidak membalas, tempahan anda akan kekal sama.
Berikut ialah beberapa perkara lain yang perlu diingat semasa membuat permintaan perubahan:

Anda tidak boleh membuat perubahan jika tarikh daftar keluar anda adalah pada masa lalu
Setelah perubahan dibuat, sebarang perubahan kemudian mesti melalui proses yang digariskan di atas sebagai permintaan baharu
Jika Hos mengubah harga mereka untuk tarikh baharu sebelum anda meminta perubahan, tempahan baharu anda akan menunjukkan harga ini, melainkan anda menempah tawaran istimewa
Menukar tarikh tempahan mungkin menjejaskan jika anda masih layak mendapat kadar diskaun mingguan atau bulanan
Setelah tempahan dimulakan, anda tidak boleh menukar bilangan tetamu
Jika anda perlu menambah lebih ramai tetamu pada tempahan anda, gunakan pusat penyelesaian untuk memproses sebarang pembayaran tambahan yang anda dan Hos telah bersetuju

Jika anda seorang tetamu, anda boleh menyemak e-mel pengesahan anda untuk mendapatkan butiran lanjut.

Jika anda menukar atau membatalkan penginapan yang lebih lama:

Bayaran pertama anda mungkin tidak boleh dikembalikan, bergantung pada penyenaraian dan apabila tempahan dibuat
Jika anda membatalkan selepas perjalanan bermula, 30 malam tempahan berikutnya tidak akan dikembalikan
Hos anda boleh memilih untuk menawarkan bayaran balik tambahan"
penginapan_tariktukaran,"Pergi ke Perjalanan dan klik perjalanan yang ingin anda ubah Di bawah Perubahan belum selesai, klik Lihat Klik Batal Untuk menyemak status tempahan anda, pergi ke Perjalanan, klik atau ketik Tunjukkan lagi rancangan perjalanan, dan kemudian Tunjukkan butiran. Anda juga boleh menyemak Peti Masuk anda untuk mendapatkan mesej daripada Hos anda."
penginapan_semakstatus,"Selepas membuat permintaan perubahan tempahan, anda boleh menyemak status melalui Perjalanan anda. Cari perjalanan yang anda inginkan dan klik atau ketik Tunjukkan lagi rancangan perjalanan, kemudian Tunjukkan butiran. Anda juga boleh menyemak Peti Masuk anda untuk mendapatkan mesej daripada Hos anda."
penginapan_tambah,"Pergi ke Perjalanan dan di bawah Akan Datang, pilih perjalanan yang ingin anda ubah Di bawah butiran Tempahan, klik Urus tetamu Tambah atau alih keluar tetamu, kemudian klik Teruskan Semak perubahan anda dan sebarang perbezaan harga, kemudian klik Hantar permintaan Setelah Hos bersetuju dengan perubahan anda, mereka akan digunakan secara automatik. Nota: Jika anda menempah perjalanan dan perlu membatalkannya, anda tidak boleh memindahkan tempahan kepada orang lain—anda perlu membatalkannya dan meminta tetamu lain menempah semula."
penginapan_kongsiperjalanan,"Pergi ke Perjalanan dan pilih perjalanan yang ingin anda kongsikan Di bawah Siapa yang akan datang, klik Urus tetamu Tambah pengembara bersama dengan menghantar jemputan kepada mereka Sila maklum bahawa pautan yang dikongsi akan tamat tempoh selepas 1 minggu. Anda boleh berkongsi butiran jadual perjalanan anda melalui e-mel dengan sesiapa sahaja yang tidak mempunyai akaun Airbnb."
penginapan_lanjutkan,"Jika tempahan anda telah tamat, sudah terlambat untuk membuat permintaan perubahan. Walau bagaimanapun, perkara yang boleh anda lakukan ialah menghantar permintaan perjalanan baharu kepada Hos anda. Jika anda masih dalam perjalanan anda, anda boleh menghantar mesej kepada Hos anda dan bertanya sama ada mereka boleh menampung penginapan yang lebih lama atau anda boleh menghantar permintaan perubahan kepada mereka. Pergi ke Perjalanan dan kemudian klik perjalanan yang ingin anda ubah Klik Tukar tempahan Tukar tarikh penginapan anda atau bilangan tetamu dan klik Teruskan Sila ambil perhatian Hos perlu menerima sebarang perubahan yang dikemukakan. Jika Hos anda tidak menerima, cuba hantar mesej kepada mereka yang mengingatkan mereka untuk menyemak permintaan pengubahan anda. Semak perubahan anda, kemudian klik Hantar permintaan Sebaik sahaja anda menghantar permintaan, Hos akan menerima pemberitahuan untuk meluluskan atau menolak permintaan anda Jika Hos anda menerima permintaan perubahan anda, tempahan anda akan dikemas kini dan anda akan dikenakan bayaran untuk masa tambahan. Jika Hos anda tidak dapat melanjutkan penginapan anda atau jika mereka tidak membalas, tarikh daftar keluar anda akan kekal sama."
pengalaman_jadualsemula,"Pergi ke Perjalanan dan klik Pengalaman yang ingin anda ubah Klik Tukar atau batalkan Di bawah Tukar tarikh atau masa, klik Seterusnya Cari tarikh atau masa baharu dan klik Pilih Klik Sahkan tukar Jika pilihan tidak sesuai untuk anda, anda boleh meminta untuk menempah tarikh atau masa yang tiada dalam kalendar Hos anda atau anda boleh membatalkan tempahan anda."
hos_tawaran,"Kadangkala Hos mungkin menawarkan penyenaraian alternatif kepada anda jika penyenaraian yang anda inginkan telah tidak tersedia—dan terpulang kepada anda sepenuhnya jika anda mahu menerima atau menolaknya. Jika anda belum mempunyai tempahan yang disahkan dan Hos menawarkan penyenaraian yang berbeza daripada yang anda bincangkan, anda boleh menempah penginapan yang dicadangkan mereka atau hanya mencari tempat baharu. Sila pastikan alternatif yang dicadangkan Hos akan berfungsi untuk perjalanan anda sebelum mengesahkan. Jika Hos anda meminta anda untuk kekal dalam penyenaraian yang berbeza daripada yang anda tempah pada asalnya dan anda boleh menukarnya, sama ada anda atau Hos anda boleh menukar tempahan. Jika anda tidak mahu menukar tempahan anda, atau jika Hos anda meminta anda menukar tanpa mengubah tempahan secara rasmi di Airbnb, minta Hos membatalkan tempahan anda supaya anda boleh mendapatkan bayaran balik penuh atau mencari tempat penginapan lain. Jika anda telah mendaftar masuk dan anda percaya penyenaraian itu bukan yang anda tempah di tapak kami, beritahu kami dan Dasar Bayaran Balik Tetamu kami akan memastikan anda sama ada mendapat penyenaraian yang anda tempah atau bayaran balik."
pertukaran_tolak,"Tertanya-tanya sama ada anda dibenarkan untuk mengatakan tidak kepada perubahan yang dicadangkan untuk tempahan yang disahkan? Jawapannya ya! Kedua-dua tetamu dan Hos boleh menolak permintaan pertukaran perjalanan. Jika anda menolak, perubahan yang dicadangkan tidak akan berkuat kuasa dan butiran tempahan sedia ada kekal seperti sedia ada. Tiada penalti untuk menolak, tetapi jika anda seorang Hos, terdapat beberapa isu yang perlu dipertimbangkan semasa membalas permintaan pertukaran perjalanan daripada tetamu."
