意图,回应
体验邀请,如果您预订体验，您可以向所有其他客人发送邀请链接，该链接将提示他们单击或点击领取您的座位。一旦他们这样做，他们将拥有被添加到预订中的所有好处。一件重要的事情：您邀请的人必须拥有 爱彼迎 帐户才能使用“认领座位”功能。完成预订后： 前往旅行并在即将到来的选项卡下找到您的体验 单击或点按更多详细信息 向下滚动以复制邀请链接 将链接发送给您的组中的人 一旦他们单击或点按认领您的座位，您的客人将获取：一封确认电子邮件，其中包含他们的预订详细信息和用于登录活动的 Zoom 链接。 （别担心！电子邮件不会显示定价信息，这是您和房东之间的信息）。访问与主持人的直接消息线程，以及与其他与会者（包括您作为预订者）的组消息线程。体验结束后留下评论的选项。如果您需要增加团体人数（越多越好！），您始终可以在“管理预订”下的体验开始之前添加更多客人——具体取决于您的体验主持人可以容纳的内容。
易接近,输入您的目的地和所需日期 显示搜索结果后，单击过滤器 单击选择辅助功能 选择享受体验所需的任何功能，然后单击保存
要求座位,您将收到预订体验人员的电子邮件。该电子邮件将包含一个邀请链接，该链接将提示您单击或点击“认领您的座位”。要求您的座位有点像 RSVPing。申请座位后，您将可以访问基本信息和重要功能，让您彻底享受体验。一件重要的事情：您需要拥有一个 爱彼迎 帐户才能使用“认领座位”功能。
体验申请更改,转到您想要的体验，然后单击联络房东 单击请求特定日期 选择日期、时间范围和客人数量 查看您的请求，然后单击发送请求 房东将查看预订详细信息并决定它们是否适合您进入他们的日程。如果他们确认，您可以通过收件箱中的消息完成预订如果他们无法容纳您，您可以尝试一起寻找彼此的美好时光
体验要求,特殊认证 想知道您的活动是否需要特定许可证，例如水肺潜水认证或驾驶执照？您的房东将在房源的房客要求部分提供该信息。技能水平 有些活动需要不同的技能水平，例如剧烈的徒步旅行或航海探险。此信息应包含在列表中。当然，您也可以随时向您的主持人提问，了解您在体验期间应该期待什么。
体验带额外的客人,在体验当天不经通知就带上几个额外的朋友，这是一个很大的“不”。如果他们没有通过 爱彼迎 预订他们的位置，房东可以将他们拒之门外。为避免失望，请尽早将您的朋友纳入您的计划或让他们自己预订体验。
体验帮人购买,分享爱彼迎体验时，体验令人惊叹。您最多可以为 10 位客人预订和付款，但您必须是参与者之一。对于某些体验，您可能会收到电子邮件通知，您和您邀请的任何客人都需要拥有 爱彼迎 帐户并提供 ID 才能参加。
体验_儿童,主人应该有详细的体验描述，说明体验是否适合儿童或必须多大年龄的儿童才能参加。您可以在预订前联络房东，询问有关体验所需技能水平的问题。请记住，所有 18 岁以下的儿童或客人必须由其法定监护人陪同。
体验饮食,主人应该有详细的体验描述，说明体验是否适合儿童或必须多大年龄的儿童才能参加。您可以在预订前联络房东，询问有关体验所需技能水平的问题。请记住，所有 18 岁以下的儿童或客人必须由其法定监护人陪同。
注册商务旅行,转到帐户并单击出差 输入您的工作电子邮件 单击添加工作电子邮件 注册 爱彼迎 for Work 没有最低或最高员工人数要求，因此即使您的公司是一个只有一个人的组织，您仍然可以自己注册并享受它带来的一切。
商务旅行加入,您可以将您的工作电子邮件地址链接到您现有的 爱彼迎 帐户。只需转到帐户，然后单击或点按出差旅行。输入您的工作电子邮件，然后单击或点击选择添加工作电子邮件。还没有爱彼迎账户？您可以使用您的工作电子邮件地址进行设置。一旦您注册并同意我们的条款和条件，您就可以加入您公司的帐户了。打开您独特的邀请链接。如果您已经将工作电子邮件地址添加到您的爱彼迎账户，您就可以开始探索住宿地点了。否则，请输入您的工作电子邮件地址，然后单击或点击添加工作电子邮件。如果您被邀请加入公司的特定团队，您可以单击或点击电子邮件中的请求加入团队。您的公司管理员将收到您已要求加入的通知。一旦他们批准了您的请求，您就会被添加到团队中。如果您收到“这不是受支持的电子邮件域”错误，请确保您没有使用公共电子邮件域（例如：gmail.com、hotmail.com）来注册您公司的帐户。如果您在输入有效的工作电子邮件域后仍然看到此错误，则表示您公司的企业帐户仅限邀请。尝试向贵公司的人力资源或差旅经理寻求邀请。如果您已经拥有个人 爱彼迎 帐户，请确保您在我们的商务旅行页面上输入您的工作电子邮件地址（例如：name@companyname.com）。我们将帮助您从那里链接您的个人帐户和工作电子邮件地址。
商务旅行书,您也可以使用我们进行商务旅行。通过选择这是一次工作旅行吗？ 将预订标记为商务旅行？在结帐时。这样，您可以添加将发送给管理您公司旅行的人员的旅行记录。您还将在您的工作收件箱中收到我们提供的可使用的收据。如果您已经预订了旅行并错误地将其标记为商务旅行，或者反之亦然，您可以随时通过转到您的旅行页面并选择或取消选择这是一次商务旅行来更新它。仅当您使用个人付款方式预订时才能执行此操作。如果您错误地向您的公司收取了商务旅行费用，您需要立即取消以避免取消费用和您组织的任何合规问题。
商务旅行旅行详细,前往旅行，选择即将到来的或过去的，然后选择您要编辑的旅行 前往付款信息 如果您已通过验证，请选择这是一次商务旅行（如果不是，请跳过此步骤） 单击添加旅行费用的详细信息 输入您的帐单地址或任何其他相关详细信息，然后单击保存 将增值税详细信息添加到您的备注不会影响您预订时收取的增值税。增值税发票不能更改。
商务旅行邀请旅行预订人,确认您的公司已注册 爱彼迎 for Work 将您的工作电子邮件地址添加到您的个人资料中 更改您的预订权限以允许其他人为您预订旅行 转到预订权限 在预订权限下，选择管理 输入您想要的人的电子邮件地址邀请，然后单击发送请求 此人将收到一封电子邮件邀请。当他们接受您的请求时，您将收到一封电子邮件确认。
出差体验,在 爱彼迎 主页上，单击体验 输入位置并选择日期 单击客人并输入参与者人数 您可以过滤结果或浏览，直到找到完美匹配。您还可以直接向主持人发送消息，询问他们是否可以私下主持您的小组，或为您的团队定制体验。准备好完成预订了吗？系统将提示您输入参与者的姓名及其电子邮件地址。包括电子邮件地址是可选的，但可以确保您的团队在此过程中获得有用的信息。
紧急手册合格,受灾难和救援人员影响的人以官方身份作出响应。为了符合条件，客人需要提供受影响地区的永久或当地旅行地址证明。难民和寻求庇护者。要获得资格，客人必须是公认的难民和/或正在寻求庇护、特殊移民签证 (SIV) 或具有类似人道主义目的的其他移民身份指定。 爱彼迎.org 经常与专门从事危机应对和难民安置工作的非营利组织和安置机构合作，以促进实地支持，包括评估潜在客人的需求和资格。 爱彼迎.org 客人自行预订临时住宿需要设置一个 爱彼迎 帐户，其中可能包括身份验证检查。 爱彼迎.org、其非营利合作伙伴、推荐组织或其服务提供商可能会审核客人的资格，然后才能使用住宿。
急救书前线,目前无法以个人身份申请前线逗留。要获得前线逗留的批准，您必须由合作伙伴组织推荐。如果您获得批准，您组织的预订者可能会代表您进行预订，或者可能会向您发送预订电子邮件邀请。以下是一些需要牢记的提示： 阅读电子邮件邀请中的所有信息。它会告诉你更多关于你可以预订什么样的住宿。确保预订标有“前线住宿”的房源。在收到预订邀请以确保正确应用折扣并且为 COVID-19 响应者预订位置之前，请勿进行预订。对于在 Frontline 住宿计划之外预订的住宿，我们无法免除费用。
前线住宿条件,要获得 爱彼迎 前线住宿的资格，您应该在以下领域积极开展 COVID-19 支持工作： 急救人员（例如：护理人员、警察、消防员） 医疗专业人员（例如：医生、医师、护士、紧急医疗技术人员） /EMT、护士助理、呼吸治疗师、药剂师、放射科医生、X 射线技师） 民防（例如：社会工作者） 社区卫生工作者（例如：辅导员、无资格的社区卫生工作者） 您还应该在以下机构之一工作在积极应对 COVID-19 的同时遵循以下设施类型： 医院 临时医院和 COVID-19 检测中心 诊所和紧急护理中心 熟练的护理设施和疗养院 您的前线逗留也需要出于以下原因之一：隔离（担心传染给家人或室友） 您通勤上班并且工作时间延长，需要离批准的设施更近 您是临时工作的区域外工人签名 不支持前线逗留的以下原因： 您有症状，需要自我隔离 您需要隔离 14 天以上 您需要暂息/休假 您想永久搬迁
前线住宿客人,在大多数情况下，前线留给积极参与 COVID-19 支持工作并需要自我隔离的人。然而，也有一些例外。其他人可以与您同住，如果他们是： 想要共享住宿地点的第一响应者同事 与您同住但由于您作为第一响应者的工作而不再有住房的家庭成员
如何消息,这一切都始于一条消息，无论您是对房源有疑问还是想立即预订住宿。与房东联络会启动一个您可以随时返回的消息线程，一旦您迈出了第一步，您的收件箱将帮助您为所有旅行安排所有通信。只需转到您的收件箱并单击消息线程即可阅读现有消息或发送新消息。细则：您必须登录您的 爱彼迎 帐户才能阅读或发送消息，并且在任何 24 小时内您只能发送 25 条消息（我们认为您不需要发送更多信息） ）。
存档消息,转到您的收件箱并选择要存档的消息线程 单击存档图标 要阅读存档的邮件，请从下拉菜单中选择存档的对话
发送贡献,如果您符合条件，您将收到一封邀请您发送卡片的电子邮件：单击或点击电子邮件中的发送爱心卡片。您将被带到可以选择主机的页面。只会向您显示来自您给予四星或五星评级的体验或住宿的房东。不再在 爱彼迎 上托管的房东将不会显示。接下来，选择卡片设计。要更改房东将收到的卡片的语言，请点击或单击语言选择器。主人收到卡片的语言旁边会显示一个支票。还会显示主持人的首选语言。请注意，某些卡片设计仅提供某些语言版本。然后，如果您愿意，可以向主持人添加注释。要获得关于笔记内容的想法，请在消息框中选择“显示一些示例”。然后，编写您自己的注释或编辑其中一个示例。最后，您可以选择包含财务捐款，其中 100% 的付款直接支付给房东。您可以在发送之前预览您的卡片。请注意，其他人可能会看到您的卡片和里面的信息 发送卡片后，您将收到一封包含卡片副本的确认电子邮件。如果您的付款方式失败，您还会收到一封电子邮件，通知您需要更新付款信息才能完成捐款。将卡片发送给主机后，您将无法向他们发送额外的卡片。您可能无法选择为每张卡添加财务贡献。一些房东可能由于各种原因无法接受捐款，包括居住在当地法规禁止他们接受捐款的地方。同样对于团体住宿或体验，只有通过 爱彼迎 付款的客人才能向该房东捐款。您有责任确定您的供款是否有资格获得税收减免或抵免。
帐户停职,如我们的服务条款所述，爱彼迎可以限制、暂停或停用帐户。发生这种情况时，您收件箱中被暂停人员的消息将被替换为表明他们的帐户不再有权访问爱彼迎的文本。根据情况的性质，可能会恢复暂停的用户及其消息。
保留到期,如果您的预订请求被房东拒绝或过期（房东有 24 小时的时间做出回应），则预订不收取任何费用，您可以自由预订其他住宿地点。了解有关检查预订状态的更多信息。如果您的预订请求被拒绝并且住宿列表显示它仍然可用，则房东的日历可能不是最新的，或者他们可能需要不同长度或时间的预订。
预订待处理,以下是您的预订可能处于“待处理”状态的一些原因： 当您提出预订请求并完成付款时，预订请求会自动发送给房东，房东有 24 小时的时间接受或拒绝该请求。在房东回复之前，您的预订状态将是“待定”。在此期间，您也可以联络房东批准您的请求。如果房东拒绝您的请求或未在 24 小时内回复，预订状态将更新为“已拒绝”或“已过期”，您的付款将退款至您原来的付款方式。如果您已预订住宿但尚未完成身份验证流程，有时预订会处于“待处理”状态。在这种情况下，您将在预订后的 12 小时内完成身份验证，否则预订将被自动取消。
更改预订,"您可以通过向房东提交更改请求或通过屏幕右下角弹出的表格来更改已确认的预订。
前往行程，然后单击您要更改的行程
点击更改预订
更改您的入住日期或客人人数，然后点击继续
请注意，主办方必须接受提交的任何更改。如果您的房东不接受，请尝试向他们发送消息，提醒他们查看您的更改请求。
查看您的更改，然后单击发送请求
发送请求后，主持人将收到通知以批准或拒绝您的请求
根据房东的政策，更改房客人数可能会影响您的总住宿费用。

在您提交更改请求之前，将显示原始总数和新总数。一旦主机接受，更改将被处理。

如有必要，您将被收取费用或退款，这也将在您确认更改之前显示。

如果房东拒绝您的请求或没有回应，您的预订将保持不变。
在提出更改请求时，请记住以下几点：

如果您的结帐日期已过，则无法进行更改
进行更改后，以后的任何更改都必须通过上述过程作为新请求
如果房东在您请求更改之前更改了新日期的定价，您的新预订将反映此定价，除非您预订了特别优惠
更改预订日期可能会影响您是否仍有资格享受每周或每月折扣价
预订开始后，您将无法更改客人数量
如果您确实需要在您的预订中添加更多客人，请使用解决中心处理您和房东同意的任何额外付款

如果您是客人，您可以查看确认电子邮件以了解更多详细信息。

如果您更改或取消更长时间的住宿：

您的第一笔付款可能无法退还，具体取决于房源和预订时间
如果您在旅行开始后取消，则以下 30 晚的预订不予退款
您的房东可以选择提供额外退款"
移除行程变更请求,转至旅行并单击要更改的旅行 在待更改的更改下，单击查看 单击取消 要检查您的预订状态，请转至旅行，单击或点击显示更多旅行计划，然后单击显示详细信息。您还可以查看您的收件箱中来自您的主机的消息。
检查行程变更请求状态,提出预订更改请求后，您可以通过您的行程查看状态。找到您想要的旅行，然后单击或点击显示更多旅行计划，然后显示详细信息。您还可以查看您的收件箱中来自您的主机的消息。
添加或删除客人,前往旅行，在即将到来的情况下，选择您要更改的旅行 在预订详情下，单击管理客人 添加或删除客人，然后单击继续 查看您的更改和任何价格差异，然后单击发送请求 一旦房东同意您的更改，他们'将自动应用。注意：如果您预订了行程并需要取消，则不能将预订转让给其他人——您需要取消预订并要求其他客人重新预订。
分享行程,前往旅行并选择您要分享的旅行 在谁来下，单击管理客人 通过向他们发送邀请来添加共同旅行者 请注意，共享链接将在 1 周后过期。您可以通过电子邮件与没有爱彼迎账户的任何人分享您的行程详情。
延长逗留,如果您的预订已结束，那么提出更改请求为时已晚。但是，您可以做的是向您的房东发送新的旅行请求。如果您仍在旅途中，您可以给房东发消息，询问他们是否可以延长逗留时间，或者您可以简单地向他们发送变更请求。前往旅行，然后单击您要更改的旅行 单击更改预订 更改您的住宿日期或客人人数，然后单击继续 请注意，房东必须接受提交的任何更改。如果您的房东不接受，请尝试向他们发送消息，提醒他们查看您的更改请求。查看您的更改，然后单击发送请求 发送请求后，房东将收到批准或拒绝您的请求的通知 如果您的房东接受您的更改请求，您的预订将被更新，您将被收取额外时间的费用。如果您的房东无法延长您的住宿时间或他们没有回复，您的退房日期将保持不变。
重新安排体验,转到旅行并单击您要更改的体验 单击更改或取消 在更改日期或时间下，单击下一步 查找新的日期或时间，然后单击选择 单击确认更改 如果选项不适合您，您可以请求预订不在房东日历上的日期或时间，或者您可以取消预订。
主机报价,有时，如果您想要的房源不可用，房东可能会为您提供替代房源——您是否愿意接受或拒绝它完全取决于您。如果您还没有确认预订，并且房东为您提供了与您讨论的不同的房源，您可以预订他们建议的住宿或只是寻找一个新的地方。在确认之前，请确保房东建议的替代方案适用于您的旅行。如果您的房东要求您入住与您最初预订的房源不同的房源，并且您同意更换房源，您或您的房东都可以更改预订。如果您不想更改预订，或者您的房东要求您在未正式更改 爱彼迎 预订的情况下进行转换，请要求房东取消您的预订，以便您获得全额退款或寻找其他住宿地点。如果您已经登记入住并且您认为房源不是您在我们网站上预订的房源，请告知我们，我们的宾客退款政策将确保您获得预订的房源或退款。
拒绝更改,想知道您是否可以对已确认预订的更改提议说不？答案是肯定的！客人和房东都可以拒绝行程变更请求。如果您拒绝，建议的更改不会生效，现有的预订详细信息保持不变。拒绝不会受到处罚，但如果您是房东，则在回复房客的行程变更请求时需要考虑一些问题。
取消情形,不用担心。如果您因为紧急或不可避免的情况需要取消预订，我们可以提供帮助： 我们的特殊情况政策在以下情况下承保： 政府旅行要求的变化。政府机构对签证或护照要求的意外更改阻止了前往目的地的旅行。这不包括丢失或过期的旅行证件或与客人旅行授权相关的其他个人情况。宣布紧急情况和流行病。政府宣布地方或国家紧急情况、流行病、流行病和公共卫生紧急情况。这不包括地方病或通常与某个地区相关的疾病——例如泰国的疟疾或夏威夷的登革热。政府旅行限制。政府机构施加的旅行限制，阻止或禁止前往、停留或返回列表地点。这不包括不具约束力的旅行建议和类似的政府指导。军事行动和其他敌对行动。战争行为、敌对行动、入侵、内战、恐怖主义、爆炸、爆炸、叛乱、骚乱、起义、内乱和内乱。自然灾害。自然灾害、不可抗力、基本公用设施的大规模停电、火山爆发、海啸以及其他恶劣和异常的天气事件。这不包括在该地区可以预见的足够普遍的天气或自然条件，例如佛罗里达州飓风季节发生的飓风。 1. 确保您有任何所需的文件 2. 选择我有特殊情况取消您的住宿或爱彼迎体验 3. 联络我们提出索赔，我们将引导您完成接下来的步骤，其中包括提交任何所需文件并等待我们的团队审核您的案例 重要提示：索赔必须在取消后 14 天内提交。
取消选项,如果您的预订是在 2022 年 5 月 31 日或之后进行的，并且 COVID-19 影响了您的旅行计划，则将适用房东的取消政策。我们的特殊情况政策不涵盖因 COVID-19 取消这些预订，但在韩国国内预订的客人或房东感染了 COVID-19 的情况除外。
重新预订取消的预订,虽然取消的预订无法恢复，但您可以联络房东重新预订。向房东发送消息，并确保您在重新预订前达成协议。他们会向您发送带有特定商定预订详细信息的特别优惠。您将有 24 小时的时间接受特别优惠。前往旅行并单击已取消选择您要再次预订的预订 单击消息主机 如果您没有获得原始取消预订的全额退款，您可以在重新预订后联络我们申请全额退款。
取消冒险,爱彼迎 Adventures 与体验的不同之处在于它们需要多天进行，并且可以包括过夜，因此取消政策略有不同。如果您在冒险计划开始前至少 30 天或购买后 24 小时内取消，您可以获得任何冒险的全额退款。够简单！
主机取消保留,发生取消时，您会收到一封电子邮件，其中包含完整的详细信息，包括您的退款信息。退款时间可能因您的付款方式而异。如果您在入住后 30 天内取消预订，我们还可以协助重新预订类似或更好的房源。
主机取消,"有时房东无法容纳您的住宿，并且在大多数情况下会提前让您知道坏消息。不要为他们取消 - 向他们发送取消请求，这样您就不会错过获得最佳退款的机会，或者您可以填写屏幕右下角弹出的表格。
前往行程并点击您要取消的行程
点击显示行程详情
单击更改或取消
点击取消预订
在请选择原因下，选择我的主机需要取消
旁边 他们说他们不能再接待你了吗？选择是
单击询问主机取消
房东有 48 小时的时间做出回应。但是，如果您的旅行在一周内开始，他们必须在 24 小时内做出回应。如果他们接受您的请求或不回复，您将获得全额退款。如果他们拒绝，他们应该仍然能够接待您的住宿。

如果您的房东已经取消预订，您的全额退款即将到来。"
房东取消体验,有时，由于天气恶劣和安全问题，房东可能需要在体验之前或体验期间取消。如果发生这种情况，您将获得全额退款，并且您可以根据需要重新预订体验。房东可能取消的另一个原因是，如果他们要求您作为主要客人提供身份证件，但在预订后 3 天内未收到身份证件。同样，如果预订被取消，您将获得退款。
入住顺利,查找您的预订详细信息 转到您的旅行页面以查找重要信息，例如地址、房东的联络信息和您的账单收据。入住信息通常在预订开始前 3 天提供。与您的房东沟通 在您抵达日期之前，向您的房东发送消息以确认： 入住和退房时间 抵达详情 钥匙交换或其他访问方式 联络信息以及您是否在旅途中无法使用电话或互联网 任何您可能有的其他问题 抵达时 亲自交换钥匙 一些房东可能想亲自迎接您，给您钥匙或他们住处的进入密码。如果是这样，请查看旅行建议，以便在发生航班延误、恶劣天气或道路封闭等情况时有额外的时间见面。其他登记入住方式 其他选择包括： 自助登记入住 带有输入说明的短信 将钥匙留在保险箱中 让邻居、房东或门卫会见客人
入住说明,前往旅行并单击显示更多旅行计划 单击显示详细信息 前往入住和退房以获取入住说明 请务必查看您的电子邮件和消息以获取入住说明。如果距离您的预订不到 48 小时，并且您的入住信息不可用，那么是时候向房东发送信息以获取信息了。
入住问题,"给房东留言

发送退款请求或通过屏幕右下角刚刚弹出的表格发送。
以下是准备方法：
收集证据：如果可能，拍摄照片或视频以记录诸如设施丢失或损坏等问题。
提交您的请求：您将描述问题，提供照片或视频（如果可以），并让房东知道您希望如何解决问题。
等待回复：如果您的房东拒绝或没有回复，您可以要求 爱彼迎 介入以提供帮助。爱彼迎将参考重新预订和退款政策来确定我们可以提供哪些帮助。

涉及爱彼迎
虽然我们总是希望主人和客人尽可能直接解决问题，但我们知道这并不总是可能的。如果出现您无法与房东解决的问题（或房东拒绝或未回复您的退款请求），请告知我们，我们团队的人员将介入以提供帮助。

如果我们发现问题受 AirCover 保护，我们将为您提供全额或部分退款，或者根据具体情况为您寻找类似或更好的住宿地点。

请记住，自发现问题之日起，您有 72 小时的时间向我们报告任何问题。"
预订详情打印,前往旅行并选择您要打印详细信息的旅行 单击显示详细信息 在预订详细信息下，单击打印详细信息
冒险级别,这些定义是与探险旅行贸易协会 (ATTA) 合作创建的： 轻：客人应该能够长时间坐着、站着或走路。活动可能包括轻松的徒步旅行、徒步旅行、野生动物之旅以及烹饪或艺术课程。任何更费力的活动都是可选的。中度：客人应该能够舒适地参加多个小时的体育活动（3 小时以上）。活动可能包括长途徒步旅行、骑自行车、皮划艇、浮潜以及骑马或骑骆驼。剧烈运动：客人应该能够舒适地参加可能会持续一整天（6 小时以上）的高强度体力活动，并且建议有过去参加过所包含活动的体验。全天活动可能包括长途徒步旅行、骑自行车和皮划艇等活动。冒险还可能包括更高的海拔、陡峭的上升/下降、强大的水流以及更崎岖的地形或水域。极限：这些冒险对体力要求最高，因此强烈建议您有体验或相关培训。活动极具挑战性，可能会持续一整天（8 小时以上）。全天活动可能包括剧烈的徒步旅行、在不平坦的地形上骑自行车和激烈的攀岩。冒险还可能包括更高的海拔、陡峭的上升/下降、强大的水流以及更崎岖的地形或水域。
EA_提示,带给您什么体验 这里有一些材料可以考虑用于各种体育活动。水或电解质运动饮料 急救箱 冰袋 血压/心脏压力监测器 您所在国家/地区的急救应用程序 您所在国家/地区的危险应用程序 活动前 以下是您参加体育活动前的一些建议： 前一天晚上适当睡眠（6-8 小时）活动 避免饮酒或服用任何可能影响您的心率和意识的物质 活动前吃一顿健康的膳食（例如：水果、蛋白质和碳水化合物），避免食用可能刺激胃部的油脂和香料 询问主人从时间、距离、海拔和努力方面来看，活动的难度级别是什么——在报名参加活动之前，请注意您的年龄和身体状况 检查预测并使用合适的衣服和鞋子 确定紧急情况下最近的医疗中心 活动期间的提示 在活动期间，检查您的健康状况很重要。以下是一些建议的提示： 在开始体育活动之前，热身并伸展身体至少 10 分钟 几分钟前检查血压和呼吸频率 手边有大量的水或电解质运动饮料——不建议一直喝液体，只有在感到口渴时才使用防晒霜，戴上帽子，并尽可能站在阴凉处保护自己免受阳光照射家人或朋友（有时在手机上访问紧急联络电话需要更多时间） 注意周围环境并妥善保管您的财物 在户外活动中，通过移动应用程序、设备或 GPS 发射器分享您的位置——在某些地区，移动网络可能效率低下，因此我们建议与您的房东以及未参加活动的亲戚或朋友分享您的位置活动 体力活动结束后，人体需要一个降温阶段。以下是一些恢复技巧： 喝水或电解质运动饮料，直到感到满意 吃能提供能量的健康食物，如水果、坚果、杏仁和蛋白质棒 身体任何部位的疼痛都可能是肌肉酸痛——如果疼痛持续存在，建议咨询医生 头痛可能是脱水的迹象，这意味着喝水或电解质运动饮料很重要
EA_疏散,国际 SOS 提供的支持 国际 SOS 将帮助为体验和冒险的客人提供医疗必要的疏散，并将提供有关全球医疗保健的专家建议，以确保客人获得最合适的医疗服务。如有医疗需要，国际 SOS 将为医疗后送的端到端流程提供建议和管理。国际 SOS 和紧急服务 国际 SOS 并非旨在替代当地紧急服务。如有任何疑问，应在联络国际 SOS 之前联络当地紧急服务部门。应急计划我们建议所有参与体验的客人和主人准备应急计划，以防自然灾害或体验期间可能发生的任何其他紧急情况。了解有关制定应急计划的更多信息。
体验海洋,对于包括动物在内的爱彼迎体验和冒险活动，爱彼迎与世界动物保护组织合作提供指南和文章，旨在促进野外和圈养野生动物以及人类照料的驯养动物的安全。以下是在参加潜水和浮潜等海洋活动时保护海洋生物的一些最佳做法： 不要接近或故意触摸动物。负责任的旅游经营者会提醒客人不要喂养或宠物好奇的水生生物。你在他们的空间里，他们是野生动物，所以他们应该是来找你的。当人们（尤其是大群人）靠得太近时，海龟和鲸鱼等海洋动物会感到压力。被追逐或感到受到威胁的野生动物可能会在试图逃跑时咬伤或伤害自己。给他们空间，如果他们选择来找你，请保持冷静。不要引诱动物。虽然喂养动物似乎是一种让它们更接近你的诱人方式，但应该让动物自己寻找食物，这样它们就可以继续它们的自然行为，而不会依赖人类获取食物。通过喂鱼或其他海洋生物，您也可能导致它们生病。不要将动物带出海洋。海星等动物不是纪念品。无论是活的还是死的，这些动物都为其他生物提供食物，去除它们也可以让入侵物种茁壮成长。一般来说，远离珊瑚礁。意外受损的珊瑚礁可能需要数年时间才能自行修复。这些珊瑚礁是海洋生物的家园，海洋生物依靠它们获得食物和住所。不要将珊瑚礁的任何部分从结构上移出海洋，如果使用防晒霜，请在涂抹后等待 30 分钟，以确保它被皮肤吸收。防晒霜通过漂白珊瑚是珊瑚礁的最大杀手之一，它也可能对以珊瑚礁为家的动物有毒。使用珊瑚安全和动物安全的防晒霜保护自己。违反我们准则的行为如果您遇到违反动物福利准则的爱彼迎体验、威胁房东或客人的安全、或危及动物福利和/或保护的风险，请联络我们。如果适用，记下日期、时间和地点，以及涉及的动物类型。如果我们得知爱彼迎体验和/或房东违反了我们的平台政策、社区标准或服务条款，我们会在必要时采取措施，包括从我们的社区中永久移除。我们不断审查和修改我们的平台政策和保护措施，以使我们的社区更安全、质量更高。
体验动物,对于包括动物在内的爱彼迎体验和冒险活动，爱彼迎与世界动物保护组织合作提供指南和文章，旨在促进野外和圈养野生动物以及人类照料的驯养动物的安全。许多文化依靠工作的马（如马或驴）从一个地方到另一个地方，但重要的是要注意可能正在受苦的动物。不得将它们用于娱乐，包括赛马、马球或牛仔竞技表演等体育赛事，或用于在拥挤的城市乘坐马车。虽然最好步行观察大自然，但如果您在 爱彼迎 体验中骑马或骑驴，请注意营养不良和虐待的迹象。与家畜互动时，应遵循“五自由”。它们是： 免于饥饿或口渴，获得淡水和适当的饮食以保持完全健康 通过提供适当的环境（包括庇护所和舒适的休息区）免于不适 通过尊重地对待动物并提供及时获得兽医护理 通过提供足够的空间、适当的设施和允许与动物同种动物陪伴来表达正常行为的自由 通过确保避免精神痛苦的条件和治疗来摆脱恐惧和痛苦 如果您目睹或参与与工作有关的活动马，请考虑以下几点： 必须认真对待工作的马，并给予适当的庇护、锻炼、兽医护理（包括蹄部护理）以及适合其生理和行为需要的食物和水。马和驴每天工作不超过6小时，每周至少有2天非工作日。马或驴的重量不应超过其体重的 20%，小型驴最多 50 公斤（110 磅），大型成熟驴最多 100 公斤（220 磅）。如果动物怀孕、生病或有开放性伤口和疮，则不应骑乘动物。母马在分娩后至少 3 个月内不应工作。动物不应在极端天气条件下工作，包括过热或冰冻温度，并应注意周围环境。所有工作的动物都应该有容易获得的食物和水以及足够的休息时间。违反我们指南的行为如果您遇到违反动物福利指南的体验、威胁我们房东或客人的安全、或危及动物福利和/或保护的风险，或者如果您在体验爱彼迎体验时目睹动物遭受痛苦或冒险，请联络我们。如果适用，请记下日期、时间和地点，以及参与体验的动物类型。如果我们得知某体验和/或主机违反了我们的平台政策、社区标准或服务条款，我们会在必要时采取措施，包括从我们的社区中永久移除。我们不断审查和修改我们的平台政策和保护措施，以使我们的社区更安全、质量更高。
损害赔偿,事故很少见，但它们会发生。如果您、您邀请的人或宠物对入住期间的损坏负责，请立即通知您的房东。最好的方法是通过 爱彼迎 网站或应用程序向他们发送消息，以防我们的社区支持团队稍后需要参考。如果你能提供照片，那也很好。提前了解损坏可以让您的房东有尽可能多的时间在下一位客人到达之前修复它。它还让你们两个有机会在没有 爱彼迎 参与的情况下找到解决方案。关于报销流程 1. 您的房东可能会要求报销 如果房东认为您应对损坏、物品丢失或意外清洁费用负责，他们可能会通过我们的调解中心向您发送报销请求。您将有 24 小时的时间做出回应。如果您支付全额费用，请求将被关闭。如果您支付部分金额、拒绝请求或忽略请求，您的房东可能会在下一步涉及爱彼迎。 2. 您的房东可能涉及 爱彼迎 如果您的房东涉及 爱彼迎，我们社区支持团队的成员将确定您是否对损坏负责，以及您的房东要求的金额是否合理。他们将通过审查您的房东提供的证据以及您在对房东的请求的初始回复中包含的任何注释来做到这一点。有人也可能会跟进您或其他可能了解房东的损害索赔信息的人。 3. 爱彼迎 可能会要求您付款 您将有机会自愿提交及时付款或上诉。如果您没有及时提交付款或上诉，或者您的上诉不成功，我们将通过您的付款方式收取费用。 （这不适用于在中国、日本或印度的逗留。）在没有提前通知或在您被指控之前和之后有机会上诉的情况下，您永远不会被指控。在您被起诉后，您将有 60 天的时间提出上诉。处理损坏从来都不是一件有趣的事情，但这个过程旨在尽可能公平。
